--------- beginning of crash
03-11 19:04:24.890  1460  1460 I libpq_sec: mtk-brm-commit-id:8d52b75ecea4b0c2129c05428261104d5b4c7e6f
03-11 19:04:24.891  1460  1460 I libpq_sec: mtk-brm-change-id:Idfe06ff5198c0d6cc7248bb4a94299f37013c3e3
03-11 19:04:24.891  1460  1460 I libpq_sec: mtk-brm-merge-id:none
03-11 19:04:24.898  1462  1462 I libpq_sec: mtk-brm-commit-id:8d52b75ecea4b0c2129c05428261104d5b4c7e6f
03-11 19:04:24.898  1462  1462 I libpq_sec: mtk-brm-change-id:Idfe06ff5198c0d6cc7248bb4a94299f37013c3e3
03-11 19:04:24.898  1462  1462 I libpq_sec: mtk-brm-merge-id:none
03-11 19:04:25.157  1507  1594 I libged  : mtk-brm-commit-id:8f279a13f0709684183c66949c3aedba30471847
03-11 19:04:25.157  1507  1594 I libged  : mtk-brm-change-id:I9678c768ba1e3699d9c1b78051980c2e6eb41dfa
03-11 19:04:25.157  1507  1594 I libged  : mtk-brm-merge-id:none
03-11 19:04:25.191  1507  1594 I libGLES_mali: mtk-brm-commit-id:2dd3679a7a9ae1ac1c71018445b123e29438be5c
03-11 19:04:25.196  1507  1594 I libGLES_mali: mtk-brm-change-id:I2fd435266d7e8eadf0bdf45a2881b673239705c1
03-11 19:04:25.196  1507  1594 I libGLES_mali: mtk-brm-merge-id:none
03-11 19:04:25.226  1607  1607 I libneuralnetworks_sl_driver: mtk-brm-commit-id:161f105d8fdcda4d5f9ff10858623788849cd706
03-11 19:04:25.226  1607  1607 I libneuralnetworks_sl_driver: mtk-brm-change-id:I3cc60e15bedb425deae97e4ba62ce9795469d0f0
03-11 19:04:25.226  1607  1607 I libneuralnetworks_sl_driver: mtk-brm-merge-id:none
03-11 19:04:25.226  1612  1612 I thermal_core: mtk-brm-commit-id:234641ae27aad1cfcf52a5ba536c107c965a52ab
03-11 19:04:25.227  1612  1612 I thermal_core: mtk-brm-change-id:Ieb2106d5ec215adedae5ff15a92923dc35fdb2bc
03-11 19:04:25.227  1612  1612 I thermal_core: mtk-brm-merge-id:none
03-11 19:04:25.231  1607  1607 I neuralnetworks_shim: mtk-brm-commit-id:25a38658d8fcdbb20664f319d3ecf9d75fd3654c
03-11 19:04:25.231  1607  1607 I neuralnetworks_shim: mtk-brm-change-id:I98bca291cad1df955fc3a2dd4a672c689604df9b
03-11 19:04:25.231  1607  1607 I neuralnetworks_shim: mtk-brm-merge-id:none
03-11 19:04:25.313  1607  1607 I cpu_nn  : mtk-brm-commit-id:e0b1e6a299e09326d1e3c00df0bee88777f15fb0
03-11 19:04:25.313  1607  1607 I cpu_nn  : mtk-brm-change-id:Ia06225ca2806a5f28be95902c2303b12e9a90c38
03-11 19:04:25.313  1607  1607 I cpu_nn  : mtk-brm-merge-id:none
03-11 19:04:25.317  1603  1603 I libimsma_adapt: mtk-brm-commit-id:86b746c21fd235c214611f3344cf70649e895fd7
03-11 19:04:25.317  1603  1603 I libimsma_adapt: mtk-brm-change-id:I44c926fb2a62b0816d0a8d12e3957bca373f1721
03-11 19:04:25.317  1603  1603 I libimsma_adapt: mtk-brm-merge-id:none
03-11 19:04:25.368  1607  1607 I cmdl    : mtk-brm-commit-id:83b79bc206164073c4933dac9048e8bbf2468a2f
03-11 19:04:25.368  1607  1607 I cmdl    : mtk-brm-change-id:I3f996dc2e36f9014a83a3c7740956ca173b56f36
03-11 19:04:25.368  1607  1607 I cmdl    : mtk-brm-merge-id:none
03-11 19:04:25.375  1607  1607 I gpu_nn  : mtk-brm-commit-id:0b5fce9d2ecbb9be75db033475f121621364bbd0
03-11 19:04:25.377  1607  1607 I gpu_nn  : mtk-brm-change-id:Icf488c65b434d1938ee3d916fb07216f278b708b
03-11 19:04:25.378  1607  1607 I gpu_nn  : mtk-brm-merge-id:none
03-11 19:04:25.434  1666  1666 I emdlogger: mtk-brm-commit-id:9d634ad4aaec05afd61a48cc390c2f3e7ba213ba
03-11 19:04:25.434  1666  1666 I emdlogger: mtk-brm-change-id:I95f7f5b11ef3b8f02e5bc26abd93bf70033f9e48
03-11 19:04:25.434  1666  1666 I emdlogger: mtk-brm-merge-id:none
03-11 19:04:25.586  1722  1722 I libpq_sec: mtk-brm-commit-id:8d52b75ecea4b0c2129c05428261104d5b4c7e6f
03-11 19:04:25.586  1722  1722 I libpq_sec: mtk-brm-change-id:Idfe06ff5198c0d6cc7248bb4a94299f37013c3e3
03-11 19:04:25.586  1722  1722 I libpq_sec: mtk-brm-merge-id:none
03-11 19:04:25.685  1723  1723 I libpq_sec: mtk-brm-commit-id:8d52b75ecea4b0c2129c05428261104d5b4c7e6f
03-11 19:04:25.685  1723  1723 I libpq_sec: mtk-brm-change-id:Idfe06ff5198c0d6cc7248bb4a94299f37013c3e3
03-11 19:04:25.685  1723  1723 I libpq_sec: mtk-brm-merge-id:none
03-11 19:04:27.841  1685  1685 I mcnr_algo: mtk-brm-commit-id:dd4929e6a71bd0be06b2d18234833692e8dec44f
03-11 19:04:27.841  1685  1685 I mcnr_algo: mtk-brm-change-id:I4260c971d731b542818aac96725266c809617407
03-11 19:04:27.841  1685  1685 I mcnr_algo: mtk-brm-merge-id:none
03-11 19:04:27.952  1685  1685 I libpq_sec: mtk-brm-commit-id:8d52b75ecea4b0c2129c05428261104d5b4c7e6f
03-11 19:04:27.952  1685  1685 I libpq_sec: mtk-brm-change-id:Idfe06ff5198c0d6cc7248bb4a94299f37013c3e3
03-11 19:04:27.952  1685  1685 I libpq_sec: mtk-brm-merge-id:none
03-11 19:04:52.404  3313  3313 I thermal_core: mtk-brm-commit-id:74ef16098784dd698d10950c8fd3f47295ee3fc0
03-11 19:04:52.404  3313  3313 I thermal_core: mtk-brm-change-id:I4b22c22d8511bdb8c07debbac82b1564676111e8
03-11 19:04:52.404  3313  3313 I thermal_core: mtk-brm-merge-id:none
03-11 19:18:29.295  1489  1489 I liboemcrypto: mtk-brm-commit-id:42dd6e7f89438f3318124f9493ca62ece27e05cf
03-11 19:18:29.295  1489  1489 I liboemcrypto: mtk-brm-change-id:Ifa8f19c763601e53c5a662fc54eb11853ade09e0
03-11 19:18:29.295  1489  1489 I liboemcrypto: mtk-brm-merge-id:none
03-12 15:00:51.829 10925 10925 E AndroidRuntime: FATAL EXCEPTION: main
03-12 15:00:51.829 10925 10925 E AndroidRuntime: Process: app.revenge, PID: 10925
03-12 15:00:51.829 10925 10925 E AndroidRuntime: java.lang.ExceptionInInitializerError
03-12 15:00:51.829 10925 10925 E AndroidRuntime: 	at org.lsposed.lspatch.metaloader.LSPAppComponentFactoryStub.a(Unknown Source:451)
03-13 00:29:38.607 14052 14052 I         : [name:spm&][SPM] mcusys was not off
03-13 00:29:38.608 14052 14052 I         : [name:spm&] Pending Wakeup Sources: NT_CHG_WAKE 11201000.usb0 disp_crtc0_wakelock
03-13 00:29:38.707  3170  3170 W dataInfoSend: type=1400 audit(0.0:220264440): avc:  denied  { bpf } for  capability=39  scontext=u:r:bpfloader:s0 tcontext=u:r:bpfloader:s0 tclass=capability2 permissive=0
03-13 00:29:38.707  3170  3170 W dataInfoSend: type=1400 audit(0.0:220264441): avc:  denied  { bpf } for  capability=39  scontext=u:r:bpfloader:s0 tcontext=u:r:bpfloader:s0 tclass=capability2 permissive=0
03-13 00:29:38.707  3170  3170 W dataInfoSend: type=1400 audit(0.0:220264442): avc:  denied  { bpf } for  capability=39  scontext=u:r:bpfloader:s0 tcontext=u:r:bpfloader:s0 tclass=capability2 permissive=0
03-13 00:29:38.690 20656 20656 W audit   : audit_lost=219880480 audit_rate_limit=5 audit_backlog_limit=64
03-13 00:29:38.690 20656 20656 E audit   : rate limit exceeded
03-13 00:29:38.707  3170  3170 W dataInfoSend: type=1400 audit(0.0:220264443): avc:  denied  { bpf } for  capability=39  scontext=u:r:bpfloader:s0 tcontext=u:r:bpfloader:s0 tclass=capability2 permissive=0
03-13 00:29:38.707  3170  3170 W dataInfoSend: type=1400 audit(0.0:220264444): avc:  denied  { bpf } for  capability=39  scontext=u:r:bpfloader:s0 tcontext=u:r:bpfloader:s0 tclass=capability2 permissive=0
03-13 00:29:39.052  1505  1505 I chg_check_pmic_info: psp:65 - 1
03-13 00:29:39.370   329   329 I instant_current: cic_idx:0
03-13 00:29:39.424  1460  1882 I hwcomposer: [HWCDisplay] [Display_0 (type:1, mode:2)] fps:60.340466,dur:1010.93,max:17.65,min:14.72  
03-13 00:29:39.624  1473  1527 I libPerfCtl: xgfGetFPS pid:2866 fps:-1
03-13 00:29:39.624  1473  1527 I libPerfCtl: xgfGetFPS pid:20228 fps:-1
03-13 00:29:39.711  3170  3170 W dataInfoSend: type=1400 audit(0.0:220264519): avc:  denied  { bpf } for  capability=39  scontext=u:r:bpfloader:s0 tcontext=u:r:bpfloader:s0 tclass=capability2 permissive=0
03-13 00:29:39.711  3170  3170 W dataInfoSend: type=1400 audit(0.0:220264520): avc:  denied  { bpf } for  capability=39  scontext=u:r:bpfloader:s0 tcontext=u:r:bpfloader:s0 tclass=capability2 permissive=0
03-13 00:29:39.711  3170  3170 W dataInfoSend: type=1400 audit(0.0:220264521): avc:  denied  { bpf } for  capability=39  scontext=u:r:bpfloader:s0 tcontext=u:r:bpfloader:s0 tclass=capability2 permissive=0
03-13 00:29:39.711  3170  3170 W dataInfoSend: type=1400 audit(0.0:220264522): avc:  denied  { bpf } for  capability=39  scontext=u:r:bpfloader:s0 tcontext=u:r:bpfloader:s0 tclass=capability2 permissive=0
03-13 00:29:39.711  3170  3170 W dataInfoSend: type=1400 audit(0.0:220264523): avc:  denied  { bpf } for  capability=39  scontext=u:r:bpfloader:s0 tcontext=u:r:bpfloader:s0 tclass=capability2 permissive=0
03-13 00:29:39.693 20656 20656 W audit   : audit_lost=219880554 audit_rate_limit=5 audit_backlog_limit=64
03-13 00:29:39.693 20656 20656 E audit   : rate limit exceeded
03-13 00:29:40.201  1685  2014 D ULogGuard: Monitoring: 17 threads, 0 requests, 0 time-bombs; 4 guards. ResetFlags = 0x7
03-13 00:29:40.336   239   239 I [DISP]mtk_dsi_esd_cmp: expect[0x1], read[0x1]
03-13 00:29:40.436  1460  1882 I hwcomposer: [HWCDisplay] [Display_0 (type:1, mode:2)] fps:60.317375,dur:1011.32,max:17.90,min:14.88  
03-13 00:29:40.466   329   329 I instant_current: cic_idx:0
03-13 00:29:40.623  1473  1527 I libPerfCtl: xgfGetFPS pid:20228 fps:-1
03-13 00:29:40.715  3170  3170 W dataInfoSend: type=1400 audit(0.0:220264598): avc:  denied  { bpf } for  capability=39  scontext=u:r:bpfloader:s0 tcontext=u:r:bpfloader:s0 tclass=capability2 permissive=0
03-13 00:29:40.715  3170  3170 W dataInfoSend: type=1400 audit(0.0:220264599): avc:  denied  { bpf } for  capability=39  scontext=u:r:bpfloader:s0 tcontext=u:r:bpfloader:s0 tclass=capability2 permissive=0
03-13 00:29:40.697 20656 20656 W audit   : audit_lost=219880628 audit_rate_limit=5 audit_backlog_limit=64
03-13 00:29:40.698 20656 20656 E audit   : rate limit exceeded
03-13 00:29:40.715  3170  3170 W dataInfoSend: type=1400 audit(0.0:220264600): avc:  denied  { bpf } for  capability=39  scontext=u:r:bpfloader:s0 tcontext=u:r:bpfloader:s0 tclass=capability2 permissive=0
03-13 00:29:40.715  3170  3170 W dataInfoSend: type=1400 audit(0.0:220264601): avc:  denied  { bpf } for  capability=39  scontext=u:r:bpfloader:s0 tcontext=u:r:bpfloader:s0 tclass=capability2 permissive=0
03-13 00:29:40.715  3170  3170 W dataInfoSend: type=1400 audit(0.0:220264602): avc:  denied  { bpf } for  capability=39  scontext=u:r:bpfloader:s0 tcontext=u:r:bpfloader:s0 tclass=capability2 permissive=0
03-13 00:29:41.447  1460  1882 I hwcomposer: [HWCDisplay] [Display_0 (type:1, mode:2)] fps:60.337090,dur:1010.99,max:18.24,min:15.61  
03-13 00:29:41.481  2785  2785 E MtkPhoneIntfMgrEx: MainThreadHandler.handleMessage : 3
03-13 00:29:41.481  2785  2785 D MtkPhoneIntfMgrEx: EVENT_AT_URC_IND(0) AT(prefix): +CSCON
03-13 00:29:41.489  2785  3164 D SarControl: enable: wifi_cell_rrc
03-13 00:29:41.491  2556  2689 D MobileConnectionRespositoryImpl: sim 0 callbackEvents received event: OnDataConnectionStateChanged(dataState=2)
03-13 00:29:41.491  2556  2689 D MobileConnectionRespositoryImpl: sim 0 dataConnectionState change to:Connected
03-13 00:29:41.558   329   329 I instant_current: cic_idx:0
03-13 00:29:41.623  1473  1527 I libPerfCtl: xgfGetFPS pid:20228 fps:-1
03-13 00:29:41.719  3170  3170 W dataInfoSend: type=1400 audit(0.0:220264677): avc:  denied  { bpf } for  capability=39  scontext=u:r:bpfloader:s0 tcontext=u:r:bpfloader:s0 tclass=capability2 permissive=0
03-13 00:29:41.719  3170  3170 W dataInfoSend: type=1400 audit(0.0:220264678): avc:  denied  { bpf } for  capability=39  scontext=u:r:bpfloader:s0 tcontext=u:r:bpfloader:s0 tclass=capability2 permissive=0
03-13 00:29:41.719  3170  3170 W dataInfoSend: type=1400 audit(0.0:220264679): avc:  denied  { bpf } for  capability=39  scontext=u:r:bpfloader:s0 tcontext=u:r:bpfloader:s0 tclass=capability2 permissive=0
03-13 00:29:41.719  3170  3170 W dataInfoSend: type=1400 audit(0.0:220264680): avc:  denied  { bpf } for  capability=39  scontext=u:r:bpfloader:s0 tcontext=u:r:bpfloader:s0 tclass=capability2 permissive=0
03-13 00:29:41.701 20656 20656 W audit   : audit_lost=219880702 audit_rate_limit=5 audit_backlog_limit=64
03-13 00:29:41.701 20656 20656 E audit   : rate limit exceeded
03-13 00:29:41.719  3170  3170 W dataInfoSend: type=1400 audit(0.0:220264681): avc:  denied  { bpf } for  capability=39  scontext=u:r:bpfloader:s0 tcontext=u:r:bpfloader:s0 tclass=capability2 permissive=0
03-13 00:29:42.281  2556  2689 D MobileConnectionRespositoryImpl: sim 0 callbackEvents received event: OnDataConnectionStateChanged(dataState=2)
03-13 00:29:42.281  2556  2689 D MobileConnectionRespositoryImpl: sim 0 dataConnectionState change to:Connected
03-13 00:29:42.381  2101  4162 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@347ef5a
03-13 00:29:42.382  2785  2785 D SatelliteModemInterface: Binding to com.mediatek.satellite.service
03-13 00:29:42.384  2101  4162 W ActivityManager: Unable to start service Intent { act=android.telephony.satellite.SatelliteService xflg=0x4 pkg=com.mediatek.satellite.service } U=0: not found
03-13 00:29:42.385  2785  2785 E SatelliteModemInterface: Error binding to the satellite service. Retrying in 36220 ms.
03-13 00:29:42.392   239   239 I [DISP]mtk_dsi_esd_cmp: expect[0x9c], read[0x9c]
03-13 00:29:42.458  1460  1882 I hwcomposer: [HWCDisplay] [Display_0 (type:1, mode:2)] fps:60.321602,dur:1011.25,max:17.67,min:15.77  
03-13 00:29:42.627  1473  1527 I libPerfCtl: xgfGetFPS pid:20228 fps:-1
03-13 00:29:42.654   329   329 I instant_current: cic_idx:0
03-13 00:29:42.723  3170  3170 W dataInfoSend: type=1400 audit(0.0:220264756): avc:  denied  { bpf } for  capability=39  scontext=u:r:bpfloader:s0 tcontext=u:r:bpfloader:s0 tclass=capability2 permissive=0
03-13 00:29:42.723  3170  3170 W dataInfoSend: type=1400 audit(0.0:220264757): avc:  denied  { bpf } for  capability=39  scontext=u:r:bpfloader:s0 tcontext=u:r:bpfloader:s0 tclass=capability2 permissive=0
03-13 00:29:42.727  3170  3170 W dataInfoSend: type=1400 audit(0.0:220264758): avc:  denied  { bpf } for  capability=39  scontext=u:r:bpfloader:s0 tcontext=u:r:bpfloader:s0 tclass=capability2 permissive=0
03-13 00:29:42.727  3170  3170 W dataInfoSend: type=1400 audit(0.0:220264759): avc:  denied  { bpf } for  capability=39  scontext=u:r:bpfloader:s0 tcontext=u:r:bpfloader:s0 tclass=capability2 permissive=0
03-13 00:29:42.727  3170  3170 W dataInfoSend: type=1400 audit(0.0:220264760): avc:  denied  { bpf } for  capability=39  scontext=u:r:bpfloader:s0 tcontext=u:r:bpfloader:s0 tclass=capability2 permissive=0
03-13 00:29:42.708 20656 20656 W audit   : audit_lost=219880776 audit_rate_limit=5 audit_backlog_limit=64
03-13 00:29:42.708 20656 20656 E audit   : rate limit exceeded
03-13 00:29:42.815   318   318 I         : Vbat=4326 vbats=4332 vbus:5000 ibus:105 I=3 T=33 uisoc:89 type:usb>usb pd:6 swchg_ibat:0 cv:4490000 cmd_pp:-1
03-13 00:29:42.815   318   318 I mtk_charger_start_timer: alarm timer start:0, 105978 130553498
03-13 00:29:42.815   318   318 I         : [PE50]pe50_is_algo_waiver waiver = 0
03-13 00:29:42.816   318   318 I         : [PE50]pe50_is_algo_finish ALGO FINISH  = 0
03-13 00:29:42.816   318   318 I pd_adapter pd-adapter: pd_authentication pd type is not snk apdo
03-13 00:29:42.816   318   318 I pe50_hal_is_pd_adapter_ready type: 6
03-13 00:29:42.823   318   318 I         : F_VMIVR, val=4400
03-13 00:29:42.823   318   318 I         : [NT_SW_JEITA] Battery Normal Temperature between 20 and 35 !!
03-13 00:29:42.823   318   318 E [NT_SW_JEITA]preState: 3 newState:3 tmp:33 cv:4490000 chg:1 ieoc:800000
03-13 00:29:42.831   318   318 I sgm41606S 11-0065: sgm41606S_get_adc_data 9 34
03-13 00:29:42.843   318   318 I tmp     : 33 (jeita:1 sm:3 cv:4490000 en:1) (sm:1) en:0 c:1 s:0 ov:0 0 sc:0 0 0 saf_cmd:-1 bat_mon:1 0 uisoc_ctrl:89 0
03-13 00:29:42.843   318   318 I mtk_charger_enable_power_path_cust: area_id(0), disable_pp(u=0,p=0), en_pp = 1
03-13 00:29:42.843   318   318 I mtk_charger_enable_power_path_cust: power path is already en = 1
03-13 00:29:42.844   318   318 I [sc]disable_charger: 0
03-13 00:29:42.851   318   318 I [sc1]en : 0 t:0,80000,68382,11618 t:3600,8018,-1,-1 c:3,2000 ibus:200 uisoc: 89,80 s:3000 ans:ignore
03-13 00:29:43.202  1685  2014 D ULogGuard: Monitoring: 17 threads, 0 requests, 0 time-bombs; 4 guards. ResetFlags = 0x7
03-13 00:29:43.284  2556  2689 D MobileConnectionRespositoryImpl: sim 0 callbackEvents received event: OnDataConnectionStateChanged(dataState=2)
03-13 00:29:43.284  2556  2689 D MobileConnectionRespositoryImpl: sim 0 dataConnectionState change to:Connected
03-13 00:29:43.469  1460  1882 I hwcomposer: [HWCDisplay] [Display_0 (type:1, mode:2)] fps:60.341236,dur:1010.92,max:17.70,min:15.20  
03-13 00:29:43.627  1473  1527 I libPerfCtl: xgfGetFPS pid:20228 fps:-1
03-13 00:29:43.727  3170  3170 W dataInfoSend: type=1400 audit(0.0:220264835): avc:  denied  { bpf } for  capability=39  scontext=u:r:bpfloader:s0 tcontext=u:r:bpfloader:s0 tclass=capability2 permissive=0
03-13 00:29:43.727  3170  3170 W dataInfoSend: type=1400 audit(0.0:220264836): avc:  denied  { bpf } for  capability=39  scontext=u:r:bpfloader:s0 tcontext=u:r:bpfloader:s0 tclass=capability2 permissive=0
03-13 00:29:43.711 20656 20656 W audit   : audit_lost=219880878 audit_rate_limit=5 audit_backlog_limit=64
03-13 00:29:43.711 20656 20656 E audit   : rate limit exceeded
03-13 00:29:43.727  3170  3170 W dataInfoSend: type=1400 audit(0.0:220264837): avc:  denied  { bpf } for  capability=39  scontext=u:r:bpfloader:s0 tcontext=u:r:bpfloader:s0 tclass=capability2 permissive=0
03-13 00:29:43.727  3170  3170 W dataInfoSend: type=1400 audit(0.0:220264838): avc:  denied  { bpf } for  capability=39  scontext=u:r:bpfloader:s0 tcontext=u:r:bpfloader:s0 tclass=capability2 permissive=0
03-13 00:29:43.727  3170  3170 W dataInfoSend: type=1400 audit(0.0:220264839): avc:  denied  { bpf } for  capability=39  scontext=u:r:bpfloader:s0 tcontext=u:r:bpfloader:s0 tclass=capability2 permissive=0
03-13 00:29:43.716 16196 16196 I         : [name:spm&][SPM] mcusys was not off
03-13 00:29:43.716 16196 16196 I         : [name:spm&] Pending Wakeup Sources: NT_CHG_WAKE 11201000.usb0 disp_crtc0_wakelock
03-13 00:29:43.749   329   329 I instant_current: cic_idx:0
03-13 00:29:43.931  7366  7366 I chg_check_pmic_info: psp:65 - 1
03-13 00:29:43.939  7366  7366 I [check_chg_status]vbus: 5006250,{6200000 ~ 4400000 ~ 0}
03-13 00:29:43.939  7366  7366 E check_pps_status: typec_attach=1, pd_type=6
03-13 00:29:43.939  7366  7366 I check_abnormal_status: [nt_abnormal_status] : 0
03-13 00:29:43.939  7366  7366 E cooling_state_to_charger_limit: lst_rnd_alg_idx :-1
03-13 00:29:43.952  7366  7366 I chg_check_pmic_info: psp:64 - 4
03-13 00:29:43.952  7366  7366 E         : chg_check_status Couldn't get psy
03-13 00:29:43.953  7366  7366 I chg_check_pmic_info: psp:0 - 3
03-13 00:29:43.954  7366  7366 I Pump    : 0x1,pump_en:0,ovp:1,wpc:0, fcc:0,fv:4490,icl:500,ibus_ma:100000,usb_sus:0,wls_sus:0,BattInit:1, chg_type:4,soc:89,soc_time:0,soc_pre:89,real_cap:4509630,htemp_charge:0,plug_in:1,plugGpio:1,usbTemp:30,battTemp:33,CHG_EN:0,CHG_STATUS:3,AICL:-1,AICR:500,CV:4490,MIVR:4400,ICHG:500,BOOST_CV:4650,BOOST_EN:0,BOOST_CC:2400,aging_mode:0,NT_CHG_TYPE:SDP,CAM_LMT:{[ON_OFF]9000,[HV_CHG]1,[LMT_C]-1,hvcharger:0}
03-13 00:29:43.954  7366  7366 I [NT]lst_rnd_alg_idx: -1
03-13 00:29:43.957 20049 20049 I soc_handler: 274 soc and temperature are all the same
03-13 00:29:43.957 20049 20049 I <99140.321>TCPC-TCPC: bat_update_work_func Battery Idle, soc = 89
03-13 00:29:43.972  1461  1461 W healthd : soc_b:89, soc:89, soc_c:90, Vol:4326, Cur:0,chg_s:1,t_l:4773,b_s:4,OffTlast:0,lcd_off:0,Vu:5000,Vw:0,pid:1461,brightness:4.651900,rmCap:4509
03-13 00:29:43.972  1461  1461 W healthd : battery l=90 v=4326 t=33.0 h=2 st=4 c=-500 fc=5067000 cc=214 chg=u
03-13 00:29:43.984  1461  1461 W healthd : soc_b:89, soc:89, soc_c:90, Vol:4326, Cur:0,chg_s:1,t_l:4773,b_s:4,OffTlast:0,lcd_off:0,Vu:5025,Vw:0,pid:1461,brightness:4.651900,rmCap:4509
03-13 00:29:43.985  1461  1461 W HealthLoop: debug.nt.screen_brightness:4.651900
03-13 00:29:44.430   239   239 I [DISP]mtk_dsi_esd_cmp: expect[0x1], read[0x1]
03-13 00:29:44.480  1460  1882 I hwcomposer: [HWCDisplay] [Display_0 (type:1, mode:2)] fps:60.308296,dur:1011.47,max:17.55,min:15.47  
03-13 00:29:44.627  1473  1527 I libPerfCtl: xgfGetFPS pid:20228 fps:-1
03-13 00:29:44.731  3170  3170 W dataInfoSend: type=1400 audit(0.0:220264914): avc:  denied  { bpf } for  capability=39  scontext=u:r:bpfloader:s0 tcontext=u:r:bpfloader:s0 tclass=capability2 permissive=0
03-13 00:29:44.731  3170  3170 W dataInfoSend: type=1400 audit(0.0:220264915): avc:  denied  { bpf } for  capability=39  scontext=u:r:bpfloader:s0 tcontext=u:r:bpfloader:s0 tclass=capability2 permissive=0
03-13 00:29:44.731  3170  3170 W dataInfoSend: type=1400 audit(0.0:220264916): avc:  denied  { bpf } for  capability=39  scontext=u:r:bpfloader:s0 tcontext=u:r:bpfloader:s0 tclass=capability2 permissive=0
03-13 00:29:44.731  3170  3170 W dataInfoSend: type=1400 audit(0.0:220264917): avc:  denied  { bpf } for  capability=39  scontext=u:r:bpfloader:s0 tcontext=u:r:bpfloader:s0 tclass=capability2 permissive=0
03-13 00:29:44.731  3170  3170 W dataInfoSend: type=1400 audit(0.0:220264918): avc:  denied  { bpf } for  capability=39  scontext=u:r:bpfloader:s0 tcontext=u:r:bpfloader:s0 tclass=capability2 permissive=0
03-13 00:29:44.846   329   329 I instant_current: cic_idx:0
03-13 00:29:44.883 30373 30373 D BoundBrokerSvc: onUnbind: Intent { act=com.google.android.gms.libs.gmscorelogger.service.START dat=chimera-action:/... xflg=0x4 cmp=com.google.android.gms/.chimera.PersistentDirectBootAwareApiService }
03-13 00:29:45.005  2101  2264 I NtCharge: mLastBatteryCycleCount:214
03-13 00:29:44.992  1484  1484 I battery_health_proc_show: bat_health = 100!
03-13 00:29:45.017  2101  2264 D NtCharge:  currentTimeInDay: 20524 LastTimeInDay: 20159 diff: 365
03-13 00:29:45.003  1484  1484 I battery_health_proc_show: bat_health = 100!
03-13 00:29:45.060  1505  1505 I chg_check_pmic_info: psp:65 - 1
03-13 00:29:45.491  1460  1882 I hwcomposer: [HWCDisplay] [Display_0 (type:1, mode:2)] fps:60.368435,dur:1010.46,max:18.51,min:15.28  
03-13 00:29:45.627  1473  1527 I libPerfCtl: xgfGetFPS pid:20228 fps:-1
03-13 00:29:45.715 20656 20656 W audit   : audit_lost=219880998 audit_rate_limit=5 audit_backlog_limit=64
03-13 00:29:45.715 20656 20656 E audit   : rate limit exceeded
03-13 00:29:45.731  3170  3170 W dataInfoSend: type=1400 audit(0.0:220264998): avc:  denied  { bpf } for  capability=39  scontext=u:r:bpfloader:s0 tcontext=u:r:bpfloader:s0 tclass=capability2 permissive=0
03-13 00:29:45.735  3170  3170 W dataInfoSend: type=1400 audit(0.0:220264999): avc:  denied  { bpf } for  capability=39  scontext=u:r:bpfloader:s0 tcontext=u:r:bpfloader:s0 tclass=capability2 permissive=0
03-13 00:29:45.735  3170  3170 W dataInfoSend: type=1400 audit(0.0:220265000): avc:  denied  { bpf } for  capability=39  scontext=u:r:bpfloader:s0 tcontext=u:r:bpfloader:s0 tclass=capability2 permissive=0
03-13 00:29:45.739  3170  3170 W dataInfoSend: type=1400 audit(0.0:220265001): avc:  denied  { bpf } for  capability=39  scontext=u:r:bpfloader:s0 tcontext=u:r:bpfloader:s0 tclass=capability2 permissive=0
03-13 00:29:45.739  3170  3170 W dataInfoSend: type=1400 audit(0.0:220265002): avc:  denied  { bpf } for  capability=39  scontext=u:r:bpfloader:s0 tcontext=u:r:bpfloader:s0 tclass=capability2 permissive=0
03-13 00:29:45.945   329   329 I instant_current: cic_idx:0
03-13 00:29:46.205  1685  2014 D ULogGuard: Monitoring: 17 threads, 0 requests, 0 time-bombs; 4 guards. ResetFlags = 0x7
03-13 00:29:46.332     0     0 I         : [    C4] swpm_sp_routine regular update(207), total_suspend(6828755279)
03-13 00:29:46.502  1460  1882 I hwcomposer: [HWCDisplay] [Display_0 (type:1, mode:2)] fps:60.344639,dur:1010.86,max:17.92,min:15.46  
03-13 00:29:46.485   239   239 I [DISP]mtk_dsi_esd_cmp: expect[0x9c], read[0x9c]
03-13 00:29:46.492 16685 16685 I ccmni1  : to:clr(33:0)
03-13 00:29:46.492 16685 16685 I ccmni1  : ccmni1(1,1), rx=(14,1316,12958), tx=(33,0,0), txq_len=(0,0), tx_drop=(0,0,0), rx_drop=(0,0), tx_busy=(0,0), sta=(0x3,0x81,0x0,0x0)
03-13 00:29:46.492 16685 16685 I ccmni2  : to:clr(33:0)
03-13 00:29:46.492 16685 16685 I ccmni2  : ccmni2(1,1), rx=(14,676,12958), tx=(119,0,0), txq_len=(0,0), tx_drop=(0,0,0), rx_drop=(0,0), tx_busy=(0,0), sta=(0x3,0x81,0x0,0x0)
03-13 00:29:46.492     0     0 I [    C6] [ccci1/dpmf]dpmaif-txq: 0-3(status=0xf)[2048]: 2048-10457-11562, 2048-9926-9926, 2048-0-0, 2048-152-152
03-13 00:29:46.492 16685 16685 I ccmni3  : to:clr(33:0)
